q+1_%_low,0
q+1_EBITDA_%,0.016684762997359454569580339550732925
q+1_EBITDA,1485.807658075999
q+1_date,2015-12-10
q+1_prev_close,29.56
q+1_close,29.5
q+1_change,-0.002029769959404515
q+1_vol,40900.0
q+1_cash,54249.403473237995
q+1_goodwill,23089.532112608
q+1_intangibles,32875.816998402
q+1_assets,216524.535772744
q+1_debt,12846.768338894
q+1_da,11185.807658075999
q+1_stockcomp,1747.069198312
q+1_cffo,-6100.0
q+1_capex,-7900.0
q+1_rev,89051.768869066
q+1_grmarg,66226.787021048
q+1_opinc,-9700.0
q+1_dividend,
q+1_EV,-41402.635134343995
q+1_EV/Sales,-0.464927711825902526655172020502684156
q+1_EV/cffo,6.787317235138359836065573770491803279
q+1_fcf,-14000.0
q+1_EV/fcf,2.957331081024571071428571428571428571
q+1_yield,0.0
q+1_grmarg_%,0.743688619126949916702587462
q+1_opinc_%,-0.108925405111964019411336982
q+1_cffo_%,-0.068499481565255723547335628
q+1_fcf_%,-0.157211924903865595026671933
q+1_tangible_assets,160559.186661734
q+1_roa,-0.060413858600541831925013941
q+1_EBITDA_growth,0
q+1_rev_growth,0
q+1_EV/EBITDA,-27.865407012343082116803128027897860702
